"","X","n_in_2008","mean_dist_in_2008","med_dist_in_2008","n_out_2008","mean_dist_out_2008","med_dist_out_2008","n_in_2009","mean_dist_in_2009","med_dist_in_2009","n_out_2009","mean_dist_out_2009","med_dist_out_2009","n_in_2010","mean_dist_in_2010","med_dist_in_2010","n_out_2010","mean_dist_out_2010","med_dist_out_2010","n_in_2011","mean_dist_in_2011","med_dist_in_2011","n_out_2011","mean_dist_out_2011","med_dist_out_2011","n_in_2012","mean_dist_in_2012","med_dist_in_2012","n_out_2012","mean_dist_out_2012","med_dist_out_2012","n_in_2013","mean_dist_in_2013","med_dist_in_2013","n_out_2013","mean_dist_out_2013","med_dist_out_2013","n_in_2014","mean_dist_in_2014","med_dist_in_2014","n_out_2014","mean_dist_out_2014","med_dist_out_2014","n_in_2015","mean_dist_in_2015","med_dist_in_2015","n_out_2015","mean_dist_out_2015","med_dist_out_2015","n_in_2016","mean_dist_in_2016","med_dist_in_2016","n_out_2016","mean_dist_out_2016","med_dist_out_2016"
"24",24,10,7.28285129630027,8.40349919363293,NA,NA,NA,12,4.15412767268608,2.60498116609065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4.74448157307065,2.94285079390389,NA,NA,NA,13,5.34369021786151,3.3544125478797,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.53733466928476,2.39105819826066,NA,NA,NA,11,4.77282524162555,5.72034286708734,NA,NA,NA
"25",25,26,4.26578457861683,3.28259165998302,11,3.38866226011612,2.46768598963684,24,5.44567255626895,4.18392030841492,NA,NA,NA,13,3.20438876837705,2.52998082649518,NA,NA,NA,20,3.5884960316791,2.70352535312714,NA,NA,NA,16,2.7987499960858,1.28060146429572,NA,NA,NA,21,4.28754522496596,3.66628456761108,NA,NA,NA,14,5.56036121078446,3.6004844201493,NA,NA,NA,32,3.21786694090447,2.21916450917081,NA,NA,NA,40,3.84473092318351,2.09143934093979,NA,NA,NA
"26",26,64,4.45147022367692,3.41164456751137,46,3.34024907764875,2.32348101981663,57,3.18705929815594,2.87866119329867,33,3.33314942621948,2.75168692037878,61,3.71711570749658,2.71077026855655,31,3.51867249767673,2.99013763510104,40,3.16809810121878,2.34054743109069,17,2.48618772676367,2.02194590438583,57,4.06351397361694,2.62608379531131,26,2.82304575407337,2.34504286802187,53,3.3072250256694,2.47850064032186,28,3.41096951965356,2.42718747182475,50,3.7622032861855,2.07705338904694,23,4.21146894729124,3.1680130599292,53,3.78731526386927,2.40909390301841,35,3.30804271660505,2.71077026855655,58,3.66980903002568,2.61658962738212,28,2.68947256116806,2.24155825879489
"27",27,27,3.28692977431596,1.78772802748668,14,4.6523897007496,4.06221707210753,31,4.31808180730957,3.37515659367769,NA,NA,NA,20,5.23455706437742,3.88681554377721,NA,NA,NA,25,3.14144051008683,2.22880496570286,20,3.15047758634583,2.36903750229482,22,4.53570925686462,3.66883909559088,12,2.08876749907883,1.88813816284814,24,3.60044956362709,2.67121860381741,14,2.83689758858552,2.90406300972512,33,4.48883749676968,2.96331104026071,13,4.12062193108178,4.06947066543191,37,3.932695839572,3.26005582407279,17,3.32738544439948,2.96331104026071,39,3.92008379643379,2.92383900757848,11,2.96952227498888,2.22880496570286
"28",28,37,3.70230616877497,3.39758781293979,15,3.01989282795832,1.03286136393292,26,3.56731345929219,2.88962513597831,NA,NA,NA,26,4.4538162606153,3.85714190108999,12,2.74764495879272,2.15924431560506,25,4.18403513795706,3.10508414743126,13,4.1324169091538,5.47479291364065,34,3.80500371632784,3.09534279069195,12,5.64272904581606,4.88824730234441,22,3.65396987216442,3.41400748147991,16,3.44568317098842,2.89050282623768,27,3.02721996513072,1.94096967774015,14,2.46731183595964,1.36168183431155,25,4.45294691266001,3.80469100094671,14,3.22461008709598,2.68990625928913,20,5.23024794325116,3.8854586800006,11,4.38063749074072,4.80110105983823
"29",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.93008578718695,1.93063809858266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.983788074087245,0.815133987153306,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,16,3.91342252359952,1.76395690483422,11,2.08522086442035,2.11092600391951,18,4.93472913727793,3.65194921963248,NA,NA,NA,10,3.23793920900702,1.70455838518771,NA,NA,NA,11,3.9124666658103,3.75293923378169,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2.52153160551544,1.91359840404198,NA,NA,NA,15,4.02143344556397,4.46943877894615,NA,NA,NA,14,5.81177945874204,3.99345633074799,NA,NA,NA,11,3.19895921940816,1.54463293131522,NA,NA,NA
"31",31,20,2.61739815922512,1.39170007179696,10,2.69534820287955,1.34581853221305,14,3.78845448023978,2.03902546761717,10,3.47274717152273,2.45196288336013,11,5.00882757774235,2.82836738781563,10,3.82083284627709,2.81444473109687,15,3.84045486186988,1.43328715052275,NA,NA,NA,11,3.52305039127767,2.1780737359119,NA,NA,NA,13,4.16606219131823,3.05467569618622,NA,NA,NA,20,6.07880583014095,4.40107631085715,NA,NA,NA,15,5.56764044442404,4.62703272702457,13,3.28549789932222,2.01718931101582,15,4.11619830253731,1.35101510274581,NA,NA,NA
"32",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6.32063395772892,2.84442418892421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,40,2.69050620558491,2.00979431864973,15,3.35920607789357,2.20092310137075,22,3.3800889673772,1.94307578028994,10,4.35907602809254,3.0371053979651,24,2.70560907320498,2.1364860403768,NA,NA,NA,31,2.74621736942102,1.842656257418,10,2.41407150363904,1.55833067945915,33,1.84305790760866,1.36015012859298,21,2.55541502360514,1.36015012859298,44,3.07856227474893,2.03209360024708,25,2.04545726188599,1.44922256156024,35,2.81468482785123,1.74022749009757,21,2.8102461468144,2.69516147235365,42,3.10771384507491,1.42106818199677,17,2.07941492216734,1.65837571178717,32,3.03559084053117,1.6690274424364,16,2.64081123922137,2.0489766628536
